timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1753320600000,0.1644000,0.1656600,0.1565800,0.1606500,227531347,1753322399999,36640349.6148800,217625,107631670,17352363.8130200,0
1753322400000,0.1606400,0.1643000,0.1522700,0.1554800,313015246,1753324199999,49238849.5729300,250271,143941481,22654003.3790800,0
1753324200000,0.1554900,0.1589000,0.1500000,0.1517300,245051237,1753325999999,37925738.8945500,214820,119320936,18490253.4154800,0
1753326000000,0.1517300,0.1548200,0.1455500,0.1494600,260370358,1753327799999,39200159.9667400,233207,118582169,17863527.5854700,0
1753327800000,0.1494600,0.1500800,0.1378000,0.1401500,407011789,1753329599999,57868615.6804400,308000,183332322,26079049.6500100,0
1753329600000,0.1401300,0.1487000,0.1378300,0.1438300,338653154,1753331399999,48961385.1826300,250673,181924699,26305316.5099500,0
1753331400000,0.1438200,0.1463000,0.1388400,0.1422500,295816361,1753333199999,42199390.9619600,206341,140499300,20044787.0084800,0
1753333200000,0.1422700,0.1425500,0.1341100,0.1365600,363006960,1753334999999,49898260.6956800,239442,174399884,23981211.9121900,0
1753335000000,0.1365500,0.1369400,0.1300900,0.1336200,388240420,1753336799999,51480316.5501100,242886,186975153,24807125.8656500,0
1753336800000,0.1336000,0.1396100,0.1311500,0.1346700,340039585,1753338599999,45580413.1098400,209656,181251601,24312126.5534300,0
1753338600000,0.1346800,0.1373700,0.1282000,0.1299600,382592938,1753340399999,50535835.3382400,238580,188294229,24886219.4872200,0
1753340400000,0.1299600,0.1359100,0.1280000,0.1312200,289105864,1753342199999,38310276.8757900,209664,152067650,20165894.7259100,0
1753342200000,0.1312500,0.1337900,0.1232000,0.1281900,342840341,1753343999999,43886405.6131900,226939,177241257,22695432.5948200,0
1753344000000,0.1282500,0.1366000,0.1247500,0.1328800,330908829,1753345799999,42657371.7114900,231020,176814889,22810999.1391400,0
1753345800000,0.1328500,0.1386700,0.1324300,0.1351100,222858073,1753347599999,30127011.6084400,168429,120016152,16235072.0616800,0
1753347600000,0.1351400,0.1488800,0.1351200,0.1466400,458661889,1753349399999,65914968.4924200,393461,255391231,36701332.4347800,0
1753349400000,0.1466600,0.1472300,0.1382300,0.1397500,254479937,1753351199999,35957401.5881400,206624,119397017,16872119.6815400,0
1753351200000,0.1397300,0.1406700,0.1374300,0.1386200,157955921,1753352999999,21910505.6031700,127270,81995507,11380982.0485700,0
1753353000000,0.1386000,0.1424200,0.1319500,0.1361200,236721740,1753354799999,32351104.7490100,157177,114071910,15607001.6387100,0
1753354800000,0.1361100,0.1375600,0.1333500,0.1360300,135679280,1753356599999,18290514.4439500,117835,68098484,9187778.6142300,0
1753356600000,0.1360400,0.1372300,0.1334700,0.1356500,94219102,1753358399999,12726106.9807200,85854,50556541,6831589.3112100,0
1753358400000,0.1356500,0.1374300,0.1325000,0.1352900,140744305,1753360199999,18939622.6586600,111039,73300418,9869700.4757500,0
1753360200000,0.1353000,0.1360600,0.1324700,0.1350700,116018730,1753361999999,15619688.8681200,75804,57839619,7787759.2426600,0
1753362000000,0.1350600,0.1393700,0.1333200,0.1354000,117796611,1753363799999,16059259.1916200,91258,64651094,8818671.7221900,0
1753363800000,0.1353900,0.1383600,0.1333000,0.1381700,87583310,1753365599999,11898456.1056100,74849,45453799,6177768.2458800,0
1753365600000,0.1381900,0.1432300,0.1373000,0.1407400,186830861,1753367399999,26153605.4707200,142116,98659282,13817820.0245700,0
1753367400000,0.1407600,0.1437400,0.1378900,0.1385600,155765122,1753369199999,21964468.8285900,126411,78130565,11029983.2177800,0
1753369200000,0.1385700,0.1404300,0.1284500,0.1295900,224258614,1753370999999,29981511.5766000,149010,101783923,13644208.8705000,0
1753371000000,0.1296200,0.1306000,0.1202500,0.1205400,286857479,1753372799999,35766131.3555700,173310,129755682,16193611.7269100,0
1753372800000,0.1205100,0.1236300,0.1058800,0.1062800,696435793,1753374599999,78545061.2302300,356512,327767136,37003180.0105000,0
1753374600000,0.1062700,0.1081200,0.0913000,0.0916400,756161600,1753376399999,75422956.4623300,321330,362737966,36277656.4618900,0
1753376400000,0.0916400,0.1041700,0.0914600,0.1018500,875766488,1753378199999,85355755.2916200,388941,483064602,47108223.5911800,0
1753378200000,0.1018500,0.1111100,0.0989000,0.1094400,540814279,1753379999999,56970230.8611000,264812,293916057,31006073.8706100,0
1753380000000,0.1094300,0.1179000,0.1045000,0.1096400,611740612,1753381799999,68503407.9386800,310470,306163941,34302409.6629500,0
1753381800000,0.1096300,0.1131000,0.1064300,0.1082200,305312221,1753383599999,33510977.3098100,166573,152530611,16762803.0546600,0
1753383600000,0.1082200,0.1117000,0.1072600,0.1079500,272346123,1753385399999,29746635.7808700,124931,142500923,15571008.2685200,0
1753385400000,0.1079400,0.1093000,0.1058000,0.1083900,167671872,1753387199999,18080926.3917500,88858,84764156,9147183.3903500,0
1753387200000,0.1083900,0.1137000,0.1065000,0.1119600,229255314,1753388999999,25297143.2698700,117609,117132509,12941260.0986000,0
1753389000000,0.1119700,0.1138500,0.1099200,0.1114300,120888430,1753390799999,13479844.9002400,72962,63093113,7035891.4964200,0
1753390800000,0.1114200,0.1144700,0.1108500,0.1110400,108040200,1753392599999,12186766.0956400,71871,56650996,6392344.2207100,0
1753392600000,0.1110300,0.1138000,0.1105600,0.1130100,98108801,1753394399999,10989939.3967900,56353,49870292,5585581.3928600,0
1753394400000,0.1130200,0.1133300,0.1072100,0.1120800,170340585,1753396199999,18687312.7220200,93795,83715913,9185918.5839900,0
1753396200000,0.1120800,0.1126500,0.1096500,0.1105400,92352257,1753397999999,10258931.5032500,56475,43668933,4852401.2990800,0
1753398000000,0.1105600,0.1112400,0.1069000,0.1083200,118119894,1753399799999,12817192.1089200,74042,64021437,6950021.7799900,0
1753399800000,0.1083200,0.1092900,0.1039100,0.1081800,140345240,1753401599999,14960918.4631500,91121,66433112,7094139.7544900,0
1753401600000,0.1081700,0.1154500,0.1077800,0.1117500,250576104,1753403399999,28012111.1467000,158155,127078993,14204504.0565300,0
1753403400000,0.1117600,0.1146300,0.1080300,0.1088500,138404671,1753405199999,15423162.0538500,97509,66113203,7371272.0172800,0
1753405200000,0.1088800,0.1126900,0.1063500,0.1116700,135360464,1753406999999,14829166.1206600,97496,70020945,7667597.7210100,0
1753407000000,0.1116800,0.1121900,0.1094200,0.1105300,81280657,1753408799999,8996881.3314000,68064,41824245,4630864.4497300,0
1753408800000,0.1104900,0.1107600,0.1056300,0.1059900,107047864,1753410599999,11577715.6864200,74165,52079858,5636420.4537000,0
1753410600000,0.1060100,0.1088300,0.1059300,0.1063500,91720477,1753412399999,9839844.4377700,61392,50202102,5387044.0684200,0
1753412400000,0.1063600,0.1122900,0.1040700,0.1102200,179373372,1753414199999,19543848.1833500,119016,89281125,9735704.2982800,0
1753414200000,0.1102000,0.1135600,0.1094100,0.1112700,121190849,1753415999999,13453138.9778100,84661,60592530,6732161.6317800,0
1753416000000,0.1112800,0.1135000,0.1102200,0.1112200,97483048,1753417799999,10904052.4129100,71470,50425481,5643405.6711100,0
1753417800000,0.1112200,0.1125500,0.1093800,0.1115900,102113619,1753419599999,11314206.7260500,66910,53510381,5928418.9846500,0
1753419600000,0.1115700,0.1126000,0.1081200,0.1086900,95718395,1753421399999,10548181.0439500,65418,50157803,5529690.5332100,0
1753421400000,0.1086600,0.1096600,0.1056500,0.1092500,96545399,1753423199999,10409897.7162700,70220,49932031,5388510.0563900,0
1753423200000,0.1092400,0.1112200,0.1069000,0.1074400,98679747,1753424999999,10720603.6569000,71721,51747950,5623597.7626300,0
1753425000000,0.1074700,0.1124800,0.1074100,0.1105900,111106039,1753426799999,12259437.8454900,75032,54181052,5979340.2863700,0
1753426800000,0.1105600,0.1127500,0.1078700,0.1101400,130938073,1753428599999,14473462.1665000,90653,66166648,7309053.9698600,0
